index,элемент,элемент битный,элемент битный алгоритм
doc_67.txt_элемент+битный,,1.7004210225893557e-07,1.7004210225893557e-07
doc_73.txt_элемент+битный,,1.8027613120371028e-07,1.8027613120371028e-07
doc_72.txt_элемент+битный,,6.059037377953829e-07,6.059037377953829e-07
doc_66.txt_элемент+битный,,1.6589214397732078e-07,1.6589214397732078e-07
doc_99.txt_элемент+битный,,1.145111601126712e-07,1.145111601126712e-07
doc_3.txt_элемент+битный,,3.598277093483944e-07,3.598277093483944e-07
doc_80.txt_элемент+битный,,2.8449313017911523e-07,2.8449313017911523e-07
doc_94.txt_элемент+битный,,1.0272475025754249e-07,1.0272475025754249e-07
doc_43.txt_элемент+битный,,1.566117175265086e-07,1.566117175265086e-07
doc_57.txt_элемент+битный,,7.334348460522261e-07,7.334348460522261e-07
doc_56.txt_элемент+битный,,9.597672048326428e-08,9.597672048326428e-08
doc_42.txt_элемент+битный,,1.098060906405745e-07,1.098060906405745e-07
doc_95.txt_элемент+битный,,5.881346634834359e-08,5.881346634834359e-08
doc_81.txt_элемент+битный,,2.3369992576862957e-07,2.3369992576862957e-07
doc_2.txt_элемент+битный,,0.010939235099120675,0.010939235099120675
doc_97.txt_элемент+битный,,1.774308783673714e-07,1.774308783673714e-07
doc_83.txt_элемент+битный,,7.728736034076754e-08,7.728736034076754e-08
doc_54.txt_элемент+битный,,1.7994317907013642e-07,1.7994317907013642e-07
doc_40.txt_элемент+битный,,9.94837377689739e-08,9.94837377689739e-08
doc_68.txt_элемент+битный,,2.166152622590235e-07,2.166152622590235e-07
doc_69.txt_элемент+битный,,1.444113609840383e-07,1.444113609840383e-07
doc_41.txt_элемент+битный,,2.3151725935485e-07,2.3151725935485e-07
doc_55.txt_элемент+битный,,1.4156992797324908e-07,1.4156992797324908e-07
doc_82.txt_элемент+битный,,5.619984586164636e-08,5.619984586164636e-08
doc_96.txt_элемент+битный,,1.3097262705101088e-07,1.3097262705101088e-07
doc_1.txt_элемент+битный,,0.04289417049176983,0.04289417049176983
doc_5.txt_элемент+битный,,2.097842998113177e-07,2.097842998113177e-07
doc_92.txt_элемент+битный,,1.8370002550268978e-07,1.8370002550268978e-07
doc_86.txt_элемент+битный,,2.674039277951673e-07,2.674039277951673e-07
doc_79.txt_элемент+битный,,1.6741208454546442e-07,1.6741208454546442e-07
doc_51.txt_элемент+битный,,1.5264572970535626e-07,1.5264572970535626e-07
doc_45.txt_элемент+битный,,2.2569515189454049e-07,2.2569515189454049e-07
doc_44.txt_элемент+битный,,0.0015120333999353198,0.0015120333999353198
doc_50.txt_элемент+битный,,7.360248345598436e-08,7.360248345598436e-08
doc_78.txt_элемент+битный,,1.6546070450718087e-07,1.6546070450718087e-07
doc_87.txt_элемент+битный,,2.9778522829940547e-07,2.9778522829940547e-07
doc_93.txt_элемент+битный,,2.6666300745708056e-07,2.6666300745708056e-07
doc_4.txt_элемент+битный,,9.799815414874118e-07,9.799815414874118e-07
doc_6.txt_элемент+битный,,1.3787418586750006e-07,1.3787418586750006e-07
doc_85.txt_элемент+битный,,1.7448657174512406e-07,1.7448657174512406e-07
doc_91.txt_элемент+битный,,1.1554988935967676e-07,1.1554988935967676e-07
doc_46.txt_элемент+битный,,9.254598210688391e-08,9.254598210688391e-08
doc_52.txt_элемент+битный,,2.9453037733521103e-07,2.9453037733521103e-07
doc_53.txt_элемент+битный,,1.402707942052842e-07,1.402707942052842e-07
doc_47.txt_элемент+битный,,3.0585994787783856e-07,3.0585994787783856e-07
doc_90.txt_элемент+битный,,2.1001151667336566e-07,2.1001151667336566e-07
doc_84.txt_элемент+битный,,2.2951554399527143e-07,2.2951554399527143e-07
doc_7.txt_элемент+битный,,2.3003215218743468e-07,2.3003215218743468e-07
doc_20.txt_элемент+битный,,0.0,0.0
doc_34.txt_элемент+битный,,2.9793195311236163e-07,2.9793195311236163e-07
doc_35.txt_элемент+битный,,1.4417165436540905e-07,1.4417165436540905e-07
doc_21.txt_элемент+битный,,2.0772758226754032e-07,2.0772758226754032e-07
doc_37.txt_элемент+битный,,2.180169129284178e-07,2.180169129284178e-07
doc_23.txt_элемент+битный,,6.852052200688227e-08,6.852052200688227e-08
doc_22.txt_элемент+битный,,6.971302981917208e-08,6.971302981917208e-08
doc_36.txt_элемент+битный,,1.5643663161729405e-07,1.5643663161729405e-07
doc_32.txt_элемент+битный,,5.497492149595172e-08,5.497492149595172e-08
doc_26.txt_элемент+битный,,1.933402607851186e-07,1.933402607851186e-07
doc_27.txt_элемент+битный,,3.64429484350554e-07,3.64429484350554e-07
doc_33.txt_элемент+битный,,3.60211515093328e-07,3.60211515093328e-07
doc_19.txt_элемент+битный,,1.2294824160060295e-07,1.2294824160060295e-07
doc_25.txt_элемент+битный,,7.08960205401339e-08,7.08960205401339e-08
doc_31.txt_элемент+битный,,3.1626158108800087e-07,3.1626158108800087e-07
doc_30.txt_элемент+битный,,2.6481473214405914e-07,2.6481473214405914e-07
doc_24.txt_элемент+битный,,2.622069282880346e-07,2.622069282880346e-07
doc_18.txt_элемент+битный,,1.5717373300370133e-07,1.5717373300370133e-07
doc_15.txt_элемент+битный+алгоритм,,,6.927263933228535e-08
doc_29.txt_элемент+битный+алгоритм,,,2.355483467489728e-07
doc_28.txt_элемент+битный+алгоритм,,,1.1588590588303841e-07
doc_14.txt_элемент+битный+алгоритм,,,7.961688609591225e-08
doc_16.txt_элемент+битный+алгоритм,,,1.0740255786748593e-07
doc_17.txt_элемент+битный+алгоритм,,,1.6180105046658114e-07
doc_13.txt_элемент+битный+алгоритм,,,0.0022182951797601394
doc_12.txt_элемент+битный+алгоритм,,,1.9116541961517916e-07
doc_100.txt_элемент+битный+алгоритм,,,6.259907206007723e-08
doc_38.txt_элемент+битный+алгоритм,,,8.081581248655492e-08
doc_10.txt_элемент+битный+алгоритм,,,0.06172882902217579
doc_11.txt_элемент+битный+алгоритм,,,0.02860978992320326
doc_39.txt_элемент+битный+алгоритм,,,1.9140541279119505e-07
doc_89.txt_элемент+битный+алгоритм,,,1.0966570602117057e-07
doc_62.txt_элемент+битный+алгоритм,,,3.6911493095936355e-08
doc_76.txt_элемент+битный+алгоритм,,,2.765565107450218e-07
doc_77.txt_элемент+битный+алгоритм,,,7.518050099991394e-08
doc_63.txt_элемент+битный+алгоритм,,,1.4458712724398562e-07
doc_88.txt_элемент+битный+алгоритм,,,9.27955748666816e-08
doc_9.txt_элемент+битный+алгоритм,,,1.7578960236305029e-07
doc_75.txt_элемент+битный+алгоритм,,,1.1208923884818999e-07
doc_61.txt_элемент+битный+алгоритм,,,4.44983074112643e-07
